stockid,rgn_id,fao_id,RAM_area_m2,stocklong,idtemp2
BTSHRIMPNAUST,16,57,NA,Brown tiger shrimp Northern Australia,3
BTSHRIMPNAUST,16,71,NA,Brown tiger shrimp Northern Australia,4
COD1f-XIV,145,21,NA,Atlantic cod NAFO 1f and ICES 14,1
COD1f-XIV,145,27,NA,Atlantic cod NAFO 1f and ICES 14,2
GTPRAWNNAUST,16,57,NA,Grooved tiger prawn Northern Australia,5
GTPRAWNNAUST,16,71,NA,Grooved tiger prawn Northern Australia,6
NEPHMEDGSA17-18,184,37,NA,Norway lobster Adriatic Sea,7
NEPHMEDGSA17-18,187,37,NA,Norway lobster Adriatic Sea,8
SARDWSE,16,57,NA,Sardine Western half of Southeast Australia,12
SEELNSSA4,223,27,NA,Sand eel Sandeel Area 4,11
SPURDNEATL,163,21,NA,Spurdog Northeast Atlantic,13
